Number of Bending,ZTO,Ag,Cu,Storage time,Square resistance
540,30,12,0,14,11.8424
550,30,12,0,14,12.173
560,30,12,0,14,12.5036
570,30,12,0,14,12.8342
580,30,12,0,14,13.1648
590,30,12,0,14,13.4954
600,30,12,0,14,13.826
0,20,12,0,14,7.895
10,20,12,0,14,8.1048
20,20,12,0,14,8.3146
30,20,12,0,14,8.5244
40,20,12,0,14,8.7342
50,20,12,0,14,8.944
60,20,12,0,14,9.1538
70,20,12,0,14,9.3636
80,20,12,0,14,9.5734
90,20,12,0,14,9.7832
100,20,12,0,14,9.993
110,20,12,0,14,10.2751
120,20,12,0,14,10.5572
130,20,12,0,14,10.8393
140,20,12,0,14,11.1214
150,20,12,0,14,11.4035
160,20,12,0,14,11.6856
170,20,12,0,14,11.9677
180,20,12,0,14,12.2498
190,20,12,0,14,12.5319
200,20,12,0,14,12.814
210,20,12,0,14,13.0741
220,20,12,0,14,13.3342
230,20,12,0,14,13.5943
240,20,12,0,14,13.8544
250,20,12,0,14,14.1145
260,20,12,0,14,14.3746
270,20,12,0,14,14.6347
280,20,12,0,14,14.8948
290,20,12,0,14,15.1549
300,20,12,0,14,15.415
310,20,12,0,14,15.8941
320,20,12,0,14,16.3732
330,20,12,0,14,16.8523
340,20,12,0,14,17.3314
350,20,12,0,14,17.8105
360,20,12,0,14,18.2896
370,20,12,0,14,18.7687
380,20,12,0,14,19.2478
390,20,12,0,14,19.7269
400,20,12,0,14,20.206
410,20,12,0,14,20.6395
420,20,12,0,14,21.073
430,20,12,0,14,21.5065
440,20,12,0,14,21.94
450,20,12,0,14,22.3735
460,20,12,0,14,22.807
470,20,12,0,14,23.2405
480,20,12,0,14,23.674
490,20,12,0,14,24.1075
500,20,12,0,14,24.541
510,20,12,0,14,24.7337
520,20,12,0,14,24.9264
530,20,12,0,14,25.1191
540,20,12,0,14,25.3118
550,20,12,0,14,25.5045
560,20,12,0,14,25.6972
570,20,12,0,14,25.8899
580,20,12,0,14,26.0826
590,20,12,0,14,26.2753
600,20,12,0,14,26.468
0,10,12,0,14,5.298
10,10,12,0,14,5.361
20,10,12,0,14,5.424
30,10,12,0,14,5.487
40,10,12,0,14,5.55
50,10,12,0,14,5.613
60,10,12,0,14,5.676
70,10,12,0,14,5.739
80,10,12,0,14,5.802
90,10,12,0,14,5.865
100,10,12,0,14,5.928
110,10,12,0,14,6.0673
120,10,12,0,14,6.2066
130,10,12,0,14,6.3459
140,10,12,0,14,6.4852
150,10,12,0,14,6.6245
160,10,12,0,14,6.7638
170,10,12,0,14,6.9031
180,10,12,0,14,7.0424
190,10,12,0,14,7.1817
200,10,12,0,14,7.321
210,10,12,0,14,7.4623
220,10,12,0,14,7.6036
230,10,12,0,14,7.7449
240,10,12,0,14,7.8862
250,10,12,0,14,8.0275
260,10,12,0,14,8.1688
270,10,12,0,14,8.3101
280,10,12,0,14,8.4514
290,10,12,0,14,8.5927
300,10,12,0,14,8.734
310,10,12,0,14,8.8905
320,10,12,0,14,9.047
330,10,12,0,14,9.2035
340,10,12,0,14,9.36
350,10,12,0,14,9.5165
360,10,12,0,14,9.673
370,10,12,0,14,9.8295
380,10,12,0,14,9.986
390,10,12,0,14,10.1425
400,10,12,0,14,10.299
410,10,12,0,14,10.3008
420,10,12,0,14,10.3026
430,10,12,0,14,10.3044
440,10,12,0,14,10.3062
450,10,12,0,14,10.308
460,10,12,0,14,10.3098
470,10,12,0,14,10.3116
480,10,12,0,14,10.3134
490,10,12,0,14,10.3152
500,10,12,0,14,10.317
510,10,12,0,14,10.582
520,10,12,0,14,10.847
530,10,12,0,14,11.112
540,10,12,0,14,11.377
550,10,12,0,14,11.642
560,10,12,0,14,11.907
570,10,12,0,14,12.172
580,10,12,0,14,12.437
